,Company,Specific_Bean_Origin,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
0,A. Morin,Agua Grande,2016,63.0,France,3.75,Unknown,Sao Tome
1,A. Morin,Kpime,2015,70.0,France,2.75,Unknown,Togo
2,A. Morin,Atsane,2015,70.0,France,3.0,Unknown,Togo
3,A. Morin,Akata,2015,70.0,France,3.5,Unknown,Togo
4,A. Morin,Quilla,2015,70.0,France,3.5,Unknown,Peru
5,A. Morin,Carenero,2014,70.0,France,2.75,Criollo,Venezuela
6,A. Morin,Cuba,2014,70.0,France,3.5,Unknown,Cuba
7,A. Morin,Sur del Lago,2014,70.0,France,3.5,Criollo,Venezuela
8,A. Morin,Puerto Cabello,2014,70.0,France,3.75,Criollo,Venezuela
9,A. Morin,Pablino,2014,70.0,France,4.0,Unknown,Peru
10,A. Morin,Panama,2013,70.0,France,2.75,Unknown,Panama
11,A. Morin,Madagascar,2013,70.0,France,3.0,Criollo,Madagascar
12,A. Morin,Brazil,2013,70.0,France,3.25,Unknown,Brazil
13,A. Morin,Equateur,2013,70.0,France,3.75,Unknown,Ecuador
14,A. Morin,Colombie,2013,70.0,France,2.75,Unknown,Colombia
15,A. Morin,Birmanie,2013,70.0,France,3.0,Unknown,Burma
16,A. Morin,Papua New Guinea,2013,70.0,France,3.25,Unknown,Papua New Guinea
17,A. Morin,Chuao,2013,70.0,France,4.0,Trinitario,Venezuela
18,A. Morin,Piura,2013,70.0,France,3.25,Unknown,Peru
19,A. Morin,Chanchamayo Province,2013,70.0,France,3.5,Unknown,Peru
20,A. Morin,Chanchamayo Province,2013,63.0,France,4.0,Unknown,Peru
21,A. Morin,Bolivia,2012,70.0,France,3.5,Unknown,Bolivia
22,A. Morin,Peru,2012,63.0,France,3.75,Unknown,Peru
23,Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,3.75,Unknown,Peru
24,Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,3.75,Criollo,Peru
25,Adi,Vanua Levu,2011,60.0,Fiji,2.75,Trinitario,Fiji
26,Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,3.25,Trinitario,Fiji
27,Adi,Vanua Levu,2011,88.0,Fiji,3.5,Trinitario,Fiji
28,Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,3.5,Trinitario,Fiji
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador
31,Ah Cacao,Tabasco,2009,70.0,Mexico,3.0,Criollo,Mexico
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,3.75,Trinitario,Indonesia
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,2.75,Criollo,Madagascar
34,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,2.75,Forastero,Brazil
35,Alain Ducasse,Trinite,2014,65.0,France,2.75,Trinitario,Trinidad
36,Alain Ducasse,Vietnam,2014,75.0,France,2.75,Trinitario,Vietnam
37,Alain Ducasse,Madagascar,2014,75.0,France,3.0,Trinitario,Madagascar
38,Alain Ducasse,Chuao,2013,75.0,France,2.5,Trinitario,Venezuela
39,Alain Ducasse,"Piura, Perou",2013,75.0,France,2.5,Unknown,Peru
40,Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador
41,Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
42,Alexandre,Tien Giang,2017,70.0,Netherlands,3.5,Trinitario,Vietnam
43,Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,3.5,Forastero,Tanzania
44,Altus aka Cao Artisan,Momotombo,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua
45,Altus aka Cao Artisan,Acopagro,2016,60.0,U.S.A.,3.0,Unknown,Peru
46,Altus aka Cao Artisan,CIAAB Coop,2016,60.0,U.S.A.,2.5,Unknown,Bolivia
47,Altus aka Cao Artisan,Villa Andina,2016,60.0,U.S.A.,2.5,Unknown,Peru
48,Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A.,2.75,Unknown,Ecuador
49,Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A.,2.5,Unknown,Venezuela
50,Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic
51,Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,3.25,Unknown,Bolivia
52,Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A.,3.0,Unknown,Bolivia
53,Altus aka Cao Artisan,Peru,2013,60.0,U.S.A.,3.25,Unknown,Peru
54,Amano,Morobe,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea
55,Amano,Dos Rios,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic
56,Amano,Guayas,2010,70.0,U.S.A.,4.0,Unknown,Ecuador
57,Amano,Chuao,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela
58,Amano,Montanya,2009,70.0,U.S.A.,3.0,Unknown,Venezuela
59,Amano,"Bali, Jembrana",2008,70.0,U.S.A.,2.75,Unknown,Indonesia
